sample,pct_miss,city,site_abbv,nlcd_urban_pct,id,management_type,name,value
TO.BO.WL1.M.3,(64),Boston,WL1,14.533204650130944,3,M,K2,0.347
TO.BO.WL1.M.3,(64),Boston,WL1,14.533204650130944,3,M,K3,0.001
TO.BO.WL1.M.4,(58),Boston,WL1,14.533204650130944,4,M,K1,0.483
TO.BO.WL1.M.4,(58),Boston,WL1,14.533204650130944,4,M,K2,0.515
TO.BO.WL1.M.4,(58),Boston,WL1,14.533204650130944,4,M,K3,0.002
TO.BO.WL1.M.5,(89),Boston,WL1,14.533204650130944,5,M,K1,0.008
TO.BO.WL1.M.5,(89),Boston,WL1,14.533204650130944,5,M,K2,0.976
TO.BO.WL1.M.5,(89),Boston,WL1,14.533204650130944,5,M,K3,0.016
TO.PX.CLA.M.1,(90),Phoenix,CLA,14.885827283543108,1,M,K1,0.002
TO.PX.CLA.M.1,(90),Phoenix,CLA,14.885827283543108,1,M,K2,0.003
TO.PX.CLA.M.1,(90),Phoenix,CLA,14.885827283543108,1,M,K3,0.995
TO.MN.L11-TO.M.1,(56),Minneapolis,L11-TO,15.065535511879474,1,M,K1,0.998
TO.MN.L11-TO.M.1,(56),Minneapolis,L11-TO,15.065535511879474,1,M,K2,0.001
TO.MN.L11-TO.M.1,(56),Minneapolis,L11-TO,15.065535511879474,1,M,K3,0.001
TO.MN.L11-TO.M.2,(54),Minneapolis,L11-TO,15.065535511879474,2,M,K1,0.529
TO.MN.L11-TO.M.2,(54),Minneapolis,L11-TO,15.065535511879474,2,M,K2,0.468
TO.MN.L11-TO.M.2,(54),Minneapolis,L11-TO,15.065535511879474,2,M,K3,0.003
TO.MN.L11-TO.M.3,(46),Minneapolis,L11-TO,15.065535511879474,3,M,K1,0.562
TO.MN.L11-TO.M.3,(46),Minneapolis,L11-TO,15.065535511879474,3,M,K2,0.437
TO.MN.L11-TO.M.3,(46),Minneapolis,L11-TO,15.065535511879474,3,M,K3,0.001
TO.MN.L11-TO.M.5,(64),Minneapolis,L11-TO,15.065535511879474,5,M,K1,0.814
TO.MN.L11-TO.M.5,(64),Minneapolis,L11-TO,15.065535511879474,5,M,K2,0.089
TO.MN.L11-TO.M.5,(64),Minneapolis,L11-TO,15.065535511879474,5,M,K3,0.097
TO.MN.L01-TO.U.2,(63),Minneapolis,L01-TO,16.749485601385576,2,U,K1,0.644
TO.MN.L01-TO.U.2,(63),Minneapolis,L01-TO,16.749485601385576,2,U,K2,0.325
TO.MN.L01-TO.U.2,(63),Minneapolis,L01-TO,16.749485601385576,2,U,K3,0.031
TO.MN.L01-TO.U.4,(63),Minneapolis,L01-TO,16.749485601385576,4,U,K1,0.821
TO.MN.L01-TO.U.4,(63),Minneapolis,L01-TO,16.749485601385576,4,U,K2,0.178
TO.MN.L01-TO.U.4,(63),Minneapolis,L01-TO,16.749485601385576,4,U,K3,0.001
TO.MN.L01-TO.U.5,(56),Minneapolis,L01-TO,16.749485601385576,5,U,K1,0.997
TO.MN.L01-TO.U.5,(56),Minneapolis,L01-TO,16.749485601385576,5,U,K2,0.002
TO.MN.L01-TO.U.5,(56),Minneapolis,L01-TO,16.749485601385576,5,U,K3,0.001
TO.BO.HC2.M.1,(59),Boston,HC2,17.451061426376246,1,M,K1,0
TO.BO.HC2.M.1,(59),Boston,HC2,17.451061426376246,1,M,K2,0.999
TO.BO.HC2.M.1,(59),Boston,HC2,17.451061426376246,1,M,K3,0.001
TO.BO.HC2.M.3,(82),Boston,HC2,17.451061426376246,3,M,K1,0.001
TO.BO.HC2.M.3,(82),Boston,HC2,17.451061426376246,3,M,K2,0.998
